timestamp,deltaP,airspeed
529.18697,-626.05304,32.1785583
529.204066,-635.732727,32.4267349
529.240229999999,-616.388977,31.9290409
529.258066,-635.732727,32.4263954
529.295614,-635.732727,32.4258003
529.312066,-626.05304,32.1793861
529.330258,-626.05304,32.1788254
529.366942,-703.412415,34.1091156
529.384066,-713.092102,34.3428192
529.402969999999,-713.092102,34.3428268
529.43807,-703.412415,34.1093178
529.45607,-693.748352,33.8739624
529.474969999999,-684.068665,33.6366196
529.492066,-693.748352,33.873764
529.52807,-703.412415,34.1085091
529.546982,-703.412415,34.1092529
529.564066,-693.748352,33.8735123
529.600234,-703.412415,34.1083221
529.61807,-703.412415,34.1087532
529.655613999999,-693.748352,33.8735886
529.67207,-703.412415,34.1082497
529.690262,-693.748352,33.8734207
529.726946,-693.748352,33.8736992
529.74407,-703.412415,34.1087875
529.76297,-703.412415,34.1091461
529.799014,-713.092102,34.3431664
529.81607,-693.748352,33.8739624
529.834934,-693.748352,33.8741531
529.85207,-684.068665,33.6370049
529.88807,-684.068665,33.6363106
529.906945999999,-693.748352,33.8740997
529.942934,-693.748352,33.8738289
529.960234,-703.412415,34.1090965
529.978074,-693.748352,33.8734779
530.015726,-703.412415,34.1082878
530.032154,-703.412415,34.1083908
530.051002,-703.412415,34.1090279
530.086986,-703.412415,34.1085243
530.104069999999,-693.748352,33.8733978
530.122974,-693.748352,33.8739204
530.159018,-693.748352,33.8737793
530.17607,-693.748352,33.8745575
530.195618,-684.068665,33.6366539
530.21207,-684.068665,33.6366539
530.248073999999,-693.748352,33.8738594
530.266986,-693.748352,33.8744888
530.28407,-684.068665,33.6371231
530.320238,-693.748352,33.8739967
530.338078,-713.092102,34.342865
530.375026,-693.748352,33.8732834
530.392073999999,-713.092102,34.3431778
530.410266,-703.412415,34.1086807
530.44699,-684.068665,33.6363602
530.464086,-693.748352,33.8738365
530.482974,-684.068665,33.6364326
530.518978,-693.748352,33.8745117
530.536074,-693.748352,33.8739166
530.555634,-684.068665,33.6365356
530.572246,-703.412415,34.108799
530.608074,-703.412415,34.1084824
530.62721,-703.412415,34.1091423
530.644086,-703.412415,34.1091118
530.680238,-703.412415,34.108593
530.698077999999,-703.412415,34.1082268
530.73503,-684.068665,33.6366081
530.752074,-693.748352,33.8737373
530.770269999999,-693.748352,33.8735466
530.806938,-693.748352,33.8736839
530.824074,-693.748352,33.8742104
530.842978,-693.748352,33.8741074
530.879097999999,-703.412415,34.1085892
530.896078,-684.068665,33.6364517
530.915634,-684.068665,33.6366158
530.932161999999,-703.412415,34.1088829
530.968078,-713.092102,34.3422127
530.986978,-703.412415,34.1095276
531.004078,-703.412415,34.1088181
531.040241999999,-693.748352,33.8736649
531.058078,-703.412415,34.1094284
531.095638,-693.748352,33.873867
531.112078,-693.748352,33.8746109
531.13027,-693.748352,33.8739243
531.166982,-703.412415,34.109169
531.184078,-684.068665,33.6375046
531.202982,-674.404602,33.3980331
531.238078,-693.748352,33.8738327
531.256082,-713.092102,34.3428535
531.275697999999,-693.748352,33.8742371
531.292078,-713.092102,34.3432465
531.328078,-722.756165,34.5742188
531.346981999999,-703.412415,34.1090012
531.364078,-693.748352,33.8730659
531.400242,-684.068665,33.6361885
531.418078,-684.068665,33.636467
531.455637999999,-684.068665,33.6368904
531.472078,-684.068665,33.6366425
531.490274,-684.068665,33.6365662
531.526981999999,-684.068665,33.6368179
531.544082,-693.748352,33.8737297
531.562981999999,-693.748352,33.8741531
531.59905,-713.092102,34.3426361
531.616082,-703.412415,34.1089172
531.634998,-703.412415,34.108532
531.652077999999,-693.748352,33.8734131
531.688082,-693.748352,33.873951
531.706946,-693.748352,33.8740768
531.742985999999,-684.068665,33.6374817
531.760246,-693.748352,33.8733139
531.778082,-684.068665,33.6361389
531.815642,-703.412415,34.1084442
531.832166,-703.412415,34.1088257
531.851014,-693.748352,33.8734703
531.887269999999,-693.748352,33.8735733
531.90409,-703.412415,34.1092224
531.922986,-713.092102,34.3427277
531.958986,-703.412415,34.1079483
531.976081999999,-693.748352,33.8737411
531.995642,-693.748352,33.8733902
532.012081999999,-693.748352,33.8733902
532.048081999999,-703.412415,34.1093903
532.066946,-703.412415,34.1092224
532.084081999999,-693.748352,33.8736877
532.120246,-684.068665,33.6362839
532.138086,-693.748352,33.8741188
532.17499,-645.39679,32.6720581
532.192082,-626.05304,32.1781921
532.210289999999,-635.732727,32.4257851
532.24699,-645.39679,32.6714668
532.264085999999,-635.732727,32.4262276
532.282998,-635.732727,32.4264145
532.319025999999,-655.060852,32.9161377
532.336085999999,-635.732727,32.4264526
532.35563,-626.05304,32.1782532
532.372085999999,-626.05304,32.1782532
532.408085999999,-635.732727,32.4260292
532.426986,-635.732727,32.4264793
532.444086,-684.068665,33.6362839
532.48025,-684.068665,33.6357803
532.498086,-693.748352,33.873867
532.53499,-713.092102,34.3426399
532.552086,-703.412415,34.109127
532.570282,-713.092102,34.3426857
532.606949999999,-713.092102,34.3423042
532.624086,-703.412415,34.1086121
532.643002,-693.748352,33.8741989
532.67899,-703.412415,34.1089363
532.696086,-693.748352,33.8745308
532.715634,-684.068665,33.6365662
532.732169999999,-693.748352,33.8737144
532.768086,-684.068665,33.6369324
532.78703,-693.748352,33.8744316
532.804086,-693.748352,33.8743134
532.840278,-693.748352,33.8731651
532.858098,-713.092102,34.3429718
532.895678,-703.412415,34.1091957
532.912086,-693.748352,33.8739891
532.930281999999,-693.748352,33.8736496
532.96695,-693.748352,33.8735695
532.98409,-693.748352,33.8738022
533.003001999999,-693.748352,33.8736267
533.03809,-693.748352,33.8734627
533.05609,-703.412415,34.1083908
533.074994,-693.748352,33.8739624
533.09209,-684.068665,33.6368179
533.12809,-693.748352,33.8740997
533.147278,-703.412415,34.1094627
533.164097999999,-703.412415,34.1085854
533.200253999999,-703.412415,34.1086502
533.21809,-703.412415,34.1090469
533.255638,-684.068665,33.6370888
533.27209,-684.068665,33.636734
533.290285999999,-703.412415,34.1089745
533.326954,-713.092102,34.3426323
533.34409,-693.748352,33.8737373
533.36331,-693.748352,33.874054
533.398993999999,-703.412415,34.1090431
533.41609,-693.748352,33.8736687
533.434993999999,-693.748352,33.8735466
533.45209,-684.068665,33.6364021
533.488094,-713.092102,34.3420486
533.507009999999,-713.092102,34.3426056
533.542993999999,-713.092102,34.3424149
533.560258,-703.412415,34.1088028
533.578094,-693.748352,33.8736115
533.615637999999,-693.748352,33.8739357
533.632174,-693.748352,33.8742599
533.651038,-693.748352,33.8737679
533.687038,-684.068665,33.6374893
533.704094,-693.748352,33.8735809
533.723002,-693.748352,33.8741531
533.758994,-703.412415,34.1089287
533.776094,-703.412415,34.1087189
533.796134,-713.092102,34.3431511
533.812094,-703.412415,34.1092644
533.848094,-722.756165,34.5746613
533.866953999999,-722.756165,34.5747566
533.884093999999,-703.412415,34.1087532
533.920258,-684.068665,33.6366005
533.938093999999,-693.748352,33.8741341
533.974998,-703.412415,34.1080589
533.992093999999,-693.748352,33.8738213
534.01029,-693.748352,33.874424
534.046998,-703.412415,34.1084251
534.064093999999,-693.748352,33.8746986
534.082998,-693.748352,33.8735199
534.119122,-703.412415,34.1093254
534.136094,-713.092102,34.342968
534.155682,-713.092102,34.3433876
534.172094,-713.092102,34.3433876
534.208097999999,-693.748352,33.8739281
534.226957999999,-674.404602,33.3979149
534.244097999999,-693.748352,33.8740463
534.280262,-684.068665,33.6356659
534.298097999999,-703.412415,34.1087952
534.334998,-693.748352,33.8738594
534.352094,-693.748352,33.8734665
534.37029,-684.068665,33.6367035
534.406961999999,-684.068665,33.6365089
534.424098,-703.412415,34.1089516
534.443066,-713.092102,34.3429184
534.479042,-703.412415,34.1083755
534.496098,-713.092102,34.3432999
534.515642,-693.748352,33.8742981
534.532182,-703.412415,34.1094208
534.568098,-693.748352,33.8741379
534.587002,-703.412415,34.1088791
534.604098,-703.412415,34.1090431
534.640262,-684.068665,33.6362953
534.658098,-693.748352,33.8741341
534.695646,-693.748352,33.8735619
534.712098,-703.412415,34.1094017
534.73031,-703.412415,34.1089439
534.767137999999,-703.412415,34.1090584
534.784098,-703.412415,34.1084099
534.803002,-703.412415,34.1087799
534.838098,-703.412415,34.1089096
534.856098,-703.412415,34.1090698
534.87501,-693.748352,33.8750763
534.892098,-703.412415,34.1102066
534.928102,-693.748352,33.8735352
534.947042,-703.412415,34.1088181
534.96411,-693.748352,33.8745537
535.000265999999,-703.412415,34.1087799
535.018102,-693.748352,33.8734131
535.056205999999,-722.756165,34.5743408
535.072334,-703.412415,34.1088333
535.090297999999,-703.412415,34.1085701
535.126966,-703.412415,34.1083679
535.144102,-703.412415,34.1093216
535.163006,-684.068665,33.6369934
535.199017999999,-693.748352,33.8737297
535.216102,-693.748352,33.8734512
535.235006,-693.748352,33.8733253
535.252102,-693.748352,33.8733253
535.288102,-703.412415,34.1090317
535.306966,-693.748352,33.8744392
535.343005999999,-684.068665,33.6357155
535.360269999999,-703.412415,34.1087265
535.378106,-713.092102,34.3435402
535.41565,-703.412415,34.1093636
535.432186,-703.412415,34.1076813
535.451034,-693.748352,33.873539
535.487005999999,-693.748352,33.874012
535.504102,-693.748352,33.873951
535.523005999999,-684.068665,33.6370354
535.559021999999,-713.092102,34.3429298
535.576106,-693.748352,33.8745155
535.595649999999,-693.748352,33.8731613
535.612101999999,-693.748352,33.8731613
535.648106,-693.748352,33.8733253
535.666966,-693.748352,33.8743057
535.684106,-693.748352,33.8741684
535.72027,-703.412415,34.109272
535.738106,-703.412415,34.1090851
535.775009999999,-703.412415,34.1090012
535.792106,-693.748352,33.8748741
535.810302,-684.068665,33.6365509
535.84705,-693.748352,33.8741379
535.864114,-703.412415,34.1084824
535.883006,-693.748352,33.8736458
535.919022,-693.748352,33.8731804
535.936105999999,-693.748352,33.8744049
535.95565,-693.748352,33.8739014
535.972105999999,-693.748352,33.8739014
