Time (ms);Barometer (Pa);Lon (° dec);Lat (° dec);Alt (m ASL)
927601;151900;-8.2891684;39.3901405;170
930001;151960;-8.2891693;39.3901367;170
932401;152030;-8.2891712;39.3901367;170
934801;152090;-8.2891722;39.3901329;170
937201;152160;-8.2891731;39.3901291;170
939601;152220;-8.2891741;39.3901291;170
942001;152280;-8.2891750;39.3901291;170
944401;152350;-8.2891741;39.3901291;170
946801;152410;-8.2891731;39.3901253;170
949201;152460;-8.2891722;39.3901253;170
951601;152530;-8.2891712;39.3901253;170
954002;152590;-8.2891712;39.3901253;170
956401;152640;-8.2891703;39.3901253;170
960002;152740;-8.2891703;39.3901253;171
962401;152790;-8.2891684;39.3901253;171
964801;152850;-8.2891665;39.3901253;171
967201;152900;-8.2891645;39.3901253;171
969601;152930;-8.2891636;39.3901291;171
972002;152990;-8.2891617;39.3901291;171
974401;153060;-8.2891617;39.3901291;171
976801;153110;-8.2891617;39.3901329;171
979201;153160;-8.2891617;39.3901329;170
981601;153210;-8.2891617;39.3901329;170
984002;153270;-8.2891626;39.3901329;170
986401;153330;-8.2891626;39.3901367;170
988801;153360;-8.2891617;39.3901405;170
991201;153430;-8.2891617;39.3901405;170
993601;153500;-8.2891617;39.3901443;169
996002;153550;-8.2891607;39.3901443;169
998401;153600;-8.2891607;39.3901443;169
1000801;153640;-8.2891598;39.3901443;169
1003201;153680;-8.2891598;39.3901443;169
1005601;153760;-8.2891598;39.3901443;0
1008002;153810;-8.2891588;39.3901443;169
1010401;153860;-8.2891579;39.3901482;170
1012801;153900;-8.2891560;39.3901520;170
1015201;153950;-8.2891550;39.3901520;170
1017601;154010;-8.2891550;39.3901558;170
1020002;154070;-8.2891550;39.3901558;170
1022401;154100;-8.2891541;39.3901596;170
1024801;154140;-8.2891550;39.3901596;171
1027201;154200;-8.2891541;39.3901596;171
1029601;154240;-8.2891541;39.3901596;171
1032002;154320;-8.2891560;39.3901558;172
1034401;154350;-8.2891560;39.3901558;172
1036801;154400;-8.2891579;39.3901520;172
1039201;154460;-8.2891579;39.3901520;173
1041601;154490;-8.2891588;39.3901520;173
1044002;154550;-8.2891579;39.3901520;173
1046401;154600;-8.2891569;39.3901520;173
1048801;154640;-8.2891560;39.3901520;172
